Name,Code,Brand,Price,Details,Product Details,Quantity,URL,image URL,Scraped Description
Rimmel Smokey Eye Kit,121018819,Rimmel,100.0,,,4.0,https://www.amazon.sa/-/en/Rimmel-London-MagnifEyes-Contouring-Palette/dp/B073WY78J1?th=1,https://m.media-amazon.com/images/I/81eZPbVyy6L._AC_SX679_.jpg,
Cantu Hair Cream Grow Strong 173Gm,121018830,Cantu,50.0, ,,20.0,https://www.amazon.sa/-/en/Cantu-Butter-Strong-Strengthening-Treatment/dp/B010160ALG,https://m.media-amazon.com/images/I/715hrYfu8hL._AC_SX522_.jpg,"Cantu Shea Butter Grow Strong Strengthening Treatment, 6Oz (173G) : Buy Online at Best Price in KSA - Souq is now Amazon.sa: Beauty"
Beesline Roll Z Alum Fragrance Free Men 50 Ml,121018892,Beesline,74.0,,,2.0,https://www.amazon.sa/-/en/Beesline-Whitening-Deodorant-Aluminum-Fragrance/dp/B09QK4WK13?th=1,https://m.media-amazon.com/images/I/61SybroKf-L._AC_SX522_.jpg,Beesline Natural Whitening Roll On Deodorant Zero Aluminum Fragrance Free 50ML : Buy Online at Best Price in KSA - Souq is now Amazon.sa: Beauty
Gillette Fusion H+5 Mea 32922,121018936,Gillette,101.0,,"<p>Product Description</p><ul>  <li> Flexable head that adjust to face contours  </li>  <li> Microfins that gently stretch and smooth skin for a close shave  </li>  <li> Back edging blade on the back side, great for edging tough areas (nose and sideburns)</li>  <li> each razor blade refill equals up to one month of shaves </li>  </ul>",1.0,https://www.caretobeauty.com/sa/gillette-fusion5-razor-4-replacement-blades/,"https://static.beautytocare.com/cdn-cgi/image/width=1600,height=1600,f=auto/media/catalog/product//g/i/gillette-fusion5-razor-4-replacement-blades.jpg","Gillette Fusion5 Razor includes four refills and suits sensitive skin due to five anti-friction blades, as well as thicker Microfins®. Buy online now! Saudi Arabia deliveries!"
Now Arnica Soothing Massage Oil 237 Ml,121018955,NOW,62.0,,"<h3><strong>Product Description:</strong></h3><ul>
<li>Arnica oil is ideal for massage.</li><li>It contains the natural fragrance extract of arnica to give you instant comfort and relaxation.</li><li>Mix with antioxidant-rich olive oil or with natural oils to provide maximum benefit.</li></ul><p>A perfect choice to add to your day and for extra comfort.</p>",4.0,https://www.noon.com/saudi-en/arnica-soothing-massage-oil-237ml/N23901983A/p/?shareId=1984b808-339d-4c40-8627-1ffd4725a93e,https://f.nooncdn.com/p/v1616159999/N23901983A_1.jpg?width=800,"Online shopping for Now Foods. Trusted Shipping to Riyadh, Jeddah and all KSA ✓ Great Prices ✓ Secure Shopping ✓ 100% Contactless ✓ Easy Free Returns ✓ Cash on Delivery. Shop Now"
Nivea Deo Spray Deep Beats 150 Ml,121018976,Nivea,18.0,,,0.0,https://www.amazon.eg/-/en/NIVEA-Antiperspirant-Spray-Carbon-Antibacterial/dp/B09N3X6VNM,https://m.media-amazon.com/images/I/61MWp+hOu1L._AC_SX522_.jpg,"Buy NIVEA MEN Antiperspirant Spray for Men, DEEP Beat Black Carbon Antibacterial, Wood Fresh Scent, 150ml online on Amazon.eg at best prices. ✓ Fast and Free Shipping ✓ Free Returns ✓Cash on Delivery available on eligible purchase."
Yardly Body Perfumed Talk Jasmine For Women 250 Gm,121019038,Yardly,20.0,,,6.0,https://www.noon.com/saudi-en/london-imperial-jasmin-perfumed-talc-250g/Z03C8599C7ED790BED684Z/p/?shareId=d90dc667-95d4-4753-ba9c-d033a5433a23,https://f.nooncdn.com/p/pzsku/Z03C8599C7ED790BED684Z/45/_/1709644118/592637b3-5e5b-4bee-9966-f579932cb4ed.jpg?width=800,"Online shopping for Yardley. Trusted Shipping to Riyadh, Jeddah and all KSA ✓ Great Prices ✓ Secure Shopping ✓ 100% Contactless ✓ Easy Free Returns ✓ Cash on Delivery. Shop Now"
Philips Avent Soother Ultra Night 0-6 M Girls 2Pcs 376 12,121019061,Philips,45.0,,"<p><strong>Description</strong></p><p>Soothe
 your baby with a pacifier that lets skin breathe and is easy to find at
 night. ultra air night has extra large air holes to keep sensitive skin
 soft & dry, and a glow-in-the-dark button so you can see it while 
the lights are out.</p><ul><li>Ideal feeding accessory</li><li>Perfect for gifting purpose</li><li>Long lasting glow in the dark</li></ul>",6.0,https://www.noon.com/saudi-en/pack-of-2-ultra-air-night-soft-pacifier-set-for-0-6-months-assorted-color-scf376-12/N40793976A/p/?shareId=9693328c-fb94-450e-946d-1decab1b0b6f,https://f.nooncdn.com/p/pnsku/N40793976A/45/_/1724246944/5b589a23-2e09-4f69-8013-fa195423dfc8.jpg?width=800,"Online shopping for Philips Avent. Trusted Shipping to Riyadh, Jeddah and all KSA ✓ Great Prices ✓ Secure Shopping ✓ 100% Contactless ✓ Easy Free Returns ✓ Cash on Delivery. Shop Now"
White Glo Advantage Clean Mint TP 91 Ml,121019065,White Glo,23.0,,"<p><strong>Product Description:</strong></p><p>White Glo Advantage Cavity, 140 g, Whitenning toothpaste unisex, The White Glo Advantage toothpaste is intended for gentle tooth whitening. It removes unwanted pigmentation from the teeth effectively and with regular use will reward you with a brighter smile. Characteristics: whitens teeth fights tooth decay and plaque guaranteed to be gentle on tooth enamel revitalises and looks after gums removes plaque and tartar freshens breath How to use: Use at least twice a day. Clean the teeth thoroughly for at least two minutes.</p>",4.0,https://www.amazon.sa/-/en/White-Glo-Advantage-Protection-Whitening/dp/B079P3ZZ86,https://m.media-amazon.com/images/I/812IjWbF6RL._AC_SX679_.jpg,White Glo Advantage Clean Mint Cavity Protection Protects Against Cavities and Decay with Teeth Whitening : Buy Online at Best Price in KSA - Souq is now Amazon.sa: Health
Eucerin Dermo Purifying Cleanser 200 Ml,121019073,Eucerin,116.0,,,4.0,https://www.noon.com/saudi-en/dermo-purifyer-cleansing-gel-pump-green-200ml/N15659573A/p/?shareId=2fc9cc0b-c11e-4f53-8cfc-971e10d7316a,https://f.nooncdn.com/p/pnsku/N15659573A/45/_/1716530625/84cd9047-865c-43c5-af87-cf2fed1add9e.jpg?width=800,"Online shopping for Eucerin. Trusted Shipping to Riyadh, Jeddah and all KSA ✓ Great Prices ✓ Secure Shopping ✓ 100% Contactless ✓ Easy Free Returns ✓ Cash on Delivery. Shop Now"
