,,,,,,,,,100.00%,,Total,Done,,
Name,Code,Brand,Image,Price,Details,Product Details,Quantity,URL,image URL,,1854,1854,,
Lorahist 10 Mg 10 Tab,6281080010088,Lorahist,https://pharma.avenzur.com/assets/uploads/44030b3912baeaa6716c761318bdb454.webp,11.55, ,"<p><strong>Product Description:</strong></p><p>What Loratadine is used for
</p><p>Loratadine tablets are used to relieve symptoms associated with seasonal allergic rhinitis (hay fever) and perennial allergic rhinitis. Symptoms of these conditions can include sneezing, runny nose, nasal itching, in addition to burning, itching and watering of the eyes.</p><p>Loratadine tablets are also used to relieve symptoms of chronic idiopathic urticaria (skin rash consisting of hives and wheals).</p><p><strong>Do not take Loratadine</strong></p><p>If you are allergic to loratadine or any of the other ingredients of this medicine</p><p><strong>Warnings and precautions</strong></p><p><strong>Talk to your doctor or pharmacist before taking loratadine if:</strong></p><li>you have severe liver problems
<p>•you are due to have any skin tests for allergies. Do not take Loratadine Tablets for two days before having these tests. This is because it may affect the test results </p></li><p><strong>Possible side effects </strong></p><p>You must stop taking Loratadine tablets immediately and consult your doctor if you develop an allergic reaction to this medicine. This can consist of:</p><li>skin rash or eruptions (including inside the mouth)</li><li>itching</li><li>swelling of the face/tongue/lips/hands/feet</li><li>breathing difficulties.</li><p>The most commonly reported side effects in adults and children over 12 years are:</p><li>drowsiness</li><li>headache</li><li>increased appetite</li><li>difficulty sleeping.</li><p>The most commonly reported side effects in children aged 2 to 12 years are:</p><li>headache</li><li>nervousness</li><li>tiredness.</li><p>Other medicines and Loratadine
</p><p><strong>Tell your doctor or pharmacist if you are taking: </strong></p><li>ketoconazole (used to treat fungal infections)</li><li>erythromycin (an antibiotic)</li><li>cimetidine (used in treatment of heartburn)</li><p><strong>How to take Loratadine</strong></p><p>Adults (including older people): 10 mg once daily (one tablet once daily)</p><p>Children over 12 years of age: 10 mg once daily (one tablet once daily)</p><p>Children aged 2 to 12 years of age:</p><li>Body weight over 30 kg: 10 mg once daily (one tablet once daily)</li><li>Body weight 30 kg or below: Not recommended</li><p>Children aged less than 2 years of age: Not recommended</p><p>The tablet should be swallowed whole with a drink of water. It may be taken with or without food.</p><p><strong>How to store Loratadine </strong></p><p>Keep this medicine out of the sight and reach of children.</p><li>Do not use this medicine after the expiry date which is stated on the carton and foil after \'EXP\'. The expiry date refers to the last day of that month.</li><li>Store in the original package.</li><li>Do not throw away any medicines via wastewater or household waste. Ask your pharmacist how to throw away medicines you no longer use. These measures will help protect the environment.</li>",29,https://unitedpharmacy.sa/ar/lorahist-10-mg10-tablets.html?queryID=f197d3174c29e005fbc28f1e2e226a88&objectID=5298&indexName=unitedpharmacy_livear_products,https://image.unitedpharmacy.sa/cdn-cgi/image//live/media/catalog/product/1/0/1004-rp141.jpg,,,,,use this ✅ when done adding product to shopify 
Lejam 30 Mg 4 Tab,6281086002896,Lejam,https://pharma.avenzur.com/assets/uploads/fd7e1f32b4f416e1afc735d8752d3cd9.webp,67,<p><strong>Highlights:</strong></p><p><strong>    NEED DOCTORS PRESCRIPTION</strong></p><ul><li>Dapoxetine belongs to a group of medicines called ‘selective serotonin reuptake inhibitors’ (SSRIs).</li><li>Dapoxetine may also be known as a ‘urological’ medicine.</li><li>Dapoxetine increases the time it takes to ejaculate and can improve the control over the ejaculation</li></ul>,"<p><strong>Product Description:</strong></p><p><strong>What Dapoxetine  is used for :</strong></p><ul>
<li>Dapoxetine  belongs to a group of medicines called ‘selective serotonin reuptake inhibitors’ (SSRIs).</li><li>Dapoxetine  may also be known as a ‘urological’ medicine.</li><li>Dapoxetine  increases the time it takes to ejaculate and can improve the control over the ejaculation</li></ul><p><strong>Do not use Dapoxetine  :</strong></p><ul>
<li>you are allergic to Dapoxetine  or any of the other ingredients of this medicine </li><li>you have heart problems, such as heart failure or problems with the heart rhythm </li><li>you have a history of fainting </li><li>you have ever had mania or severe depression </li><li>you have moderate or severe liver problems. </li></ul><p>If you are taking: </p><ul>
<li>Medicines for depression called ‘monoamine oxidase inhibitors’ (MAOIs) </li><li>Thioridazine used for schizophrenia </li><li>Other medicines for depression </li><li>Lithium</li><li>Linezolid </li><li>Tryptophan</li><li>St John’s wort</li><li>Tramadol</li><li>Medicines used to treat migraines. </li></ul><p><strong>Warnings and precautions :</strong></p><p>Talk to your doctor, pharmacist or nurse before taking Dapoxetine  if:</p><ul>
<li>You have not been diagnosed with premature ejaculation</li><li>You also have another sexual problem, such as erectile dysfunction</li><li>You have a history of dizziness from low blood pressure</li><li>You use recreational drugs such as ecstasy, LSD, narcotics or benzodiazepines</li><li>You drink alcohol </li><li>You have ever had a mental health problem </li><li>You have epilepsy</li><li>You have a history of bleeding or blood clotting problems</li><li>You have kidney problems</li><li>You have, or are at risk of, high pressure in the eye (glaucoma)</li></ul><p><strong>Possible side effects :</strong></p><ul>
<li>Stop
 using the product and seek immediate medical attention if you develop 
throat tightness or swelling of the eyes, face, lips or tongue, feel 
faint, or have difficulty breathing.</li><li>Stop using the product if you develop hives or itching of the face or body. </li></ul><p><strong>Other medicines and Dapoxetine :</strong></p><p>Tell your doctor or pharmacist if you are taking any of the following medicines:</p><ul>
<li>Medicines for mental health problems other than depression</li><li>Non-steroidal anti-inflammatory medicines such as ibuprofen or acetylsalicylic acid</li><li>Medicines to thin your blood, such as warfarin</li><li>Certain
 medicines used to treat erectile dysfunction, such as sildenafil, 
tadalafil or vardenafil, as these medicines may lower your blood 
pressure, possibly upon standing</li><li>Certain
 medicines used to treat high blood pressure and chest pain (angina) 
(such as verapamil and diltiazem), or enlarged prostate, as these 
medicines may also lower your blood pressure, possibly upon standing</li><li>Certain other medicines for fungal infection, such as fluconazole</li><li>Certain other medicines for HIV, such as amprenavir and fosamprenavir</li><li>Certain other antibiotics for treating infection, such as erythromycin and clarithromycin</li></ul><p><strong>How to use Dapoxetine : </strong></p><ul>
<li>Always take this medicine exactly as your doctor or pharmacist has told you.</li><li>Check with your doctor or pharmacist if you are not sure. </li></ul><ul>
<li>The recommended dose is 30 mg. Your doctor may increase the dose to 60 mg</li><li>Only take the medicine 1 to 3 hours before sexual activity is anticipated</li></ul><p><strong>How to store Dapoxetine  :</strong></p><ul>
<li>This medicinal product does not require any special storage conditions.</li><li>Keep this medicine out of the sight and reach of children.</li><li>Do not use this medicine after the expiry date which is stated on the carton after EXP.</li><li>The expiry date refers to the last day of that month.</li><li>Do not throw away any medicines via wastewater or household waste.</li></ul>",34.75,https://unitedpharmacy.sa/ar/lejam-30-mg-4-tablets.html?queryID=825c443480f42c3890f3d09054f0e5bc&objectID=8794&indexName=unitedpharmacy_livear_products,https://image.unitedpharmacy.sa/cdn-cgi/image//live/media/catalog/product/l/e/lejam_30_mg_4_tablets_1_1_.jpg,,,,,
Rimmel Smokey Eye Kit,121018819,Rimmel,,100,,,4,https://www.amazon.sa/-/en/Rimmel-London-MagnifEyes-Contouring-Palette/dp/B073WY78J1?th=1,https://m.media-amazon.com/images/I/81eZPbVyy6L._AC_SX679_.jpg,,,,,
,,,,,,,,,https://m.media-amazon.com/images/I/81BVOGKqsPL._AC_SL1500_.jpg,,,,,
,,,,,,,,,https://m.media-amazon.com/images/I/8171Lp6eqaL._AC_SL1500_.jpg,,,,,
,,,,,,,,,https://m.media-amazon.com/images/I/91nEEixH7gL._AC_SL1500_.jpg,,,,,
,,,,,,,,,https://m.media-amazon.com/images/I/516Fev8HxlL._AC_.jpg,,,,,
,,,,,,,,,https://m.media-amazon.com/images/I/81bH2AfOnmL._AC_SL1500_.jpg,,,,,
,,,,,,,,,https://m.media-amazon.com/images/I/91H4TvgnKxL._AC_SL1500_.jpg,,,,,
