PIM | Brand,UPC Code,Arabic Description,English Description,TAX  ,COST,GTIN (Internal ID),Category,Sub Category,Sub Sub Category,Image 1 URL,Image 2 URL,Image 3 URL
Beauty System,6955050960689,بيوتي سيستم غسول فم كبسولات بنكهه النعناع 12 قطعه × 13 مل,Beauty System Mouth Wash Capsules With Mint Flavor 12 Pieces x 13 ml,TAX 15%,6.31,,Oral Care,Mouth Fresheneres,Mouth Wash,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NjI3ODYzMTc4MjgsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:c00e788789b0ab46bed4b811db5483c5bbb2f698002017369b98b04bfb4115e8/Ej2DfZ3aR7Ss1zVjmQLg",,
Beauty System,6955050960535,بيوتي سيستم غسول فم كبسولات بنكهه النعناع المنعش 12 قطعه × 13 مل,Beauty System Mouth Wash Capsules With Refreshing Mint Flavor 12 Pieces x 13 ml,TAX 15%,6.31,,Oral Care,Mouth Fresheneres,Mouth Wash,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NjI3ODYzMjE4MTAsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:a9251550cbe003d0337dad7ce7b5df3d6044836b6d77c67078ba008c61d48e7c/iqBjAeeXQ92HTLXyuBZo",,
Beauty System,6955050960542,بيوتي سيستم غسول فم كبسولات بنكهه الفراوله 12 قطعه × 13 مل,Beauty System Mouth Wash Capsules With Strawberry Flavor 12 Pieces x 13 ml,TAX 15%,6.31,,Oral Care,Mouth Fresheneres,Mouth Wash,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NjI3ODYzMjE3NTksImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:955260af2bfc881e391d0bd9d23c4244d784f1646b24134165bf224d245c581d/xRxR6eHlQAfrvLSHu6sg",,
Beauty System,6955050954978,بيوتي سيستم غسول فم كبسولات منعشه بنكهه النعناع المنعش 20 قطعه × 13 مل,Beauty System Mouth Wash Refreshing Capsules With Refreshing Mint Flavor 20 Pieces x 13 ml,TAX 15%,9.01,,Oral Care,Mouth Fresheneres,Mouth Wash,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NjI3ODY0NTE0NDUsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:7fe4265fbb8064a8f0c0a5112d15029c11391ac120d54d7d3e1c1ca968866530/gv7xkG4zQK2nN8vmXgBg",,
Beauty System,6955050954985,بيوتي سيستم غسول فم كبسولات منعشه بنكهه الفراوله 20 قطعه × 13 مل,Beauty System Mouth Wash Refreshing Capsules With Strawberry Flavor 20 Pieces x 13 ml,TAX 15%,9.01,,Oral Care,Mouth Fresheneres,Mouth Wash,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NjI3ODY0NTE0OTMsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:16c97e5737053a1f899571a73b6e0a113463edf17514274548f77016100e4769/oh8j8PwGQ3uVMtzkaVWn",,
Beauty System,6955050955432,بيوتي سيستم غسول فم بنكهه الشاي الاخضر الطبيعي 20 قطعه × 10 مل,Beauty System Mouth Wash Natural Green Tea Flavor 20 Pieces x 10 Ml,TAX 15%,8.56,,Oral Care,Mouth Fresheneres,Mouth Wash,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTkyMzk2OTA4MDIsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:c65830ef655b8a649617b30f22586be667a27097189952195bb3e2283c3c5555/nEJ2bdeoR4aweJGo5TBc",,
Beauty System,632138145911,بيوتي سيستم مناديل لإزالة المكياج 25 منديل    لجميع انواع البشرة,Beauty System Make Up Remover Wipes 25Wipes for All Skin Types,TAX 15%,3.17,,Skin Care,Makeup Removers,Make Up Remover Wipes,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwMDYzMjQ1NTgsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:d40c74eee4f57230566d9ce8f44916ec47337454ae03162da5aeeedabe8f077c/VmGiD7mQ4CXLI2D1Ng6c","- https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5OTI2OTAzNzIsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:5d95287600f44dbe8b6d93614b08c620ae731fb0ddeacd490a98cf574f4b7ea3/Z8KHVQ2WVivpAPYvVQkm
- https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMwMDYzMjQ1NzksImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:d1051a9216636813841b022ac38ffae671b0d1280ba7b1e278eb18bb0a6b2cf8/Z8KHVQ2WVivpAPYvVQkm",
Beauty System,632138145829,بيوتي سيستم مناديل نسائية للمناطق الحساسة 25 قطعة  بالصبار و فيتامين اي,Beauty System Feminine Intimate Wipes 25pc  With Aloe Vera & Vitamin-E,TAX 15%,8.13,,Personal Care,Feminine Care,Feminine Wipes,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5MjUwMjkxOTQsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:278bc86064dd8ff8ca17322b48f1c0c49202a17e017176938c2a62f1b44d70a6/424ZQ1VRRHefpxSiZEmc",,
Bee My Rose,8809721160213,بي ماي روز تونر للوجه 100 جرام ماء ازهار الورد من بروفانس,Bee My Rose Face Toner 100g Provence Rose Petal Water,TAX 15%,24.62,,Skin Care,Face Care,Face Toner,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTMyNzgxODU1NDUsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:1aad9386d97623db2880f24291577df56099f0942b645161bf576d3cb8c1d6ff/nf8UV22DTM6b1sE5Mz2D",,
Best Clean,6287028280162,بست كلين غسول لليدين 500 مل شاي انغستوفوليا,Best Clean Hand Wash 500ml Tea Angusifolia,TAX 15%,7.21,,Body Care,Bath & Body,Hand Wash,"https://cdn.files.smartsuite.com/AEHrSDUikTDqTbYuRTesYz/security=policy:eyJleHBpcnkiOjE3NTI5OTI2NDc4MTIsImNhbGwiOlsicmVhZCIsImNvbnZlcnQiLCJwaWNrIiwic3RvcmUiXSwibWF4U2l6ZSI6NTAwMDAwMDAwMH0=,signature:49fc0c5659f21ad97b5a7aaf688cd91ec22bdfdaa148db5b9e2bed31d3b06760/7wHSVwvQd6sPz9Y8yoPV",,
