PIM | Brand,UPC Code,English Description,COST
Lorahist,6281080010088, ,11.55
Lejam,6281086002896,<p><strong>Highlights:</strong></p><p><strong>    NEED DOCTORS PRESCRIPTION</strong></p><ul><li>Dapoxetine belongs to a group of medicines called ‘selective serotonin reuptake inhibitors’ (SSRIs).</li><li>Dapoxetine may also be known as a ‘urological’ medicine.</li><li>Dapoxetine increases the time it takes to ejaculate and can improve the control over the ejaculation</li></ul>,67.0
Rimmel,121018819,,100.0
Cantu,121018830, ,50.0
Uriage,121018882,<p><strong>Highlights:</strong></p><li>Targeted Group : Unisex</li><li>Form Product : Roll On </li><li>Triple Action Against Heavy Perspiration</li><li>Soothes And Protects Sensitive Underarm Area Over 24 Hr . </li>,67.0
Uriage,121018883,<p><strong>Highlights:</strong></p><li> Skin type: All  </li><li> Target gender: Unisex</li><li>Target use body part: Face </li><li>The best anti-aging active ingredients</li>,150.0
Beesline,121018892,,74.0
Louis Widmer,121018919,"<p><strong>Highlights:</strong></p><ul><li>Inhibits sweating</li><li>Optimally tolerated, even by extremely sensitive skin</li><li>24-hour effect</li><li>No alcohol</li><li>Also suitable for use on hands and feet</li><li>Keeps your armpit dry and clean </li></ul>",72.0
Gillette,121018936,,101.0
NOW,121018955,,62.0
Nivea,121018976,,18.0
Yardly,121019038,,20.0
Gillette,121019060,"<p><strong>Highlights:</strong></p><ul><li>Protective ribbon of moisture with a touch of aloe and 8 times more glide boosters for smooth glide</li><li>5 blades spaced closely together with reduced pressure per blade for a clean shave with less irritation</li><li>Pivoting head adjusts to curves and fits easily into hard to shave areas</li><li>Perfect for sensitive skin</li><li>All Venus razor blades fit all Venus razor handles, except Simply Venus</li></ul>",72.0
Philips,121019061,,45.0
White Glo,121019065,,23.0
Eucerin,121019073,,116.0
Watermans,121019079,,130.0
CeraVe,121019097,,95.0
CeraVe,121019099,<h3><strong>Highlights:</strong></h3><ul>  <li><strong>Suitable for normal to oily skin  </strong></li>  <li><strong> Hyaluronic acid: This ingredient attracts hydration to the skin’s surface and helps the skin retain moisture  </strong></li>  <li><strong> Refreshing foaming action  </strong></li>  <li><strong> Developed with dermatologists&nbsp;</strong></li></ul>,65.22
CeraVe,121019100,,84.17
CeraVe,121019102,"<p><strong>Highlights:</strong></p><ul><li>Non-greasy and fast absorbing daily hand cream to help protect cracked skin, especially to help relieve frequently washed or over-worked hands.</li><li>[ Ingredients THAT KEEP HYDRATION ] Formulated with Hyaluronic Acid to help retain skin's natural moisture, Niacinamide to help calm skin, Dimethicone as a skin protectant, and ceramides to help restore the skin's barrier.</li><li>Ceramides are naturally found in the skin and make up 50</li></ul>",141.0
CeraVe,121019103,,105.0
CeraVe,121019104,<p><strong>Highlights:</strong></p><ul><li>Deep moisturizing.</li><li>Without a greasy feeling.</li><li>Fragrance free.</li><li>Developed in collaboration with dermatologists.</li><li>It can be used for face and body.</li><li>Suitable for day or night use.</li></ul>,134.01
Derma,121019137,<p><strong>Highlights:</strong></p><ul><li>The Roller Will Diminish The Appearance of Cellulite Stretch Marks</li><li>The Roller Will Lean Heavy Pitted Skin</li><li>The Roller Also Stimulates The Hair To Maintain Its Thickness</li></ul>,40.0
La Roche Posay,121019143,,170.43
La Roche Posay,121019144,<h3><strong>Highlights:</strong></h3><ul>  <li><strong>Visibly reduces spots and blemishes  </strong></li>  <li><strong> Unclogs pores and improves skin texture  </strong></li>  <li><strong> All the benefits of spf30 protection with the comfort of a daily moisturizer.&nbsp;</strong></li></ul>,144.83
La Roche Posay,121019155,<p><strong>Highlights:</strong></p><ul><li>Eye cream for dark circles reduces the look of under-eye discolorations</li><li>Light reflective pigments instantly brighten the eye contour</li><li>Cooling metal applicator helps decongest</li></ul>,195.4
ISIS,121019213,,282.9
